1 'em	'em
140 aard-vark	aardvark
141 aard-wolf	thien nhien-soi
142 aaron's rod	que cua aaron
143 aaronical	aaronical
144 ab	ab
145 ab-	ab-
146 abaca	abaca
147 abacination	su mai mon
148 abaction	su pha binh
149 abactor	abactor
150 abaddon	abaddon
151 abalienate	abalienate
152 abalienation	abalienation
153 abalone	bao ngu
154 abanga	ho co the
155 abase	abe
156 abaser	abaser
157 abasing	hau het trong so ho
158 abassi	Abbasi
159 abassis	abassis
160 abated	nguoi ngoai
161 abater	ban ha
162 abating	lam diu di
163 abatvoix	abatvoix
164 abawed	Abboud
165 abaxial	thuoc ve mat tru
166 abaxile	abaxile
167 abb	abb
168 abb wool	len abb
169 abba	abba
170 abbacy	abbacy
171 abbatical	abbatical
172 abbess	vien truong
173 abbotship	tru tri
174 abbreviator	nguoi viet tat
175 abbreviature	Cac tu viet tat
176 abderian	badran
177 abdicable	co the thoai thac
178 abdicant	hay de ho tu chuc
179 abdicative	thoai vi
180 abdicator	nguoi thoai vi
181 abdominales	ABS
182 abdominoscopy	abdominoscopy
183 abdominothoracic	abdominothoracic
184 abductor	nguoi bat coc
185 abeam	suon tau
186 abecedarian	abecedarian
187 abelian	nguoi abelian
188 abelite	abelite
189 abelmosk	abelmosk
190 abelonian	nguoi abelonian
191 aber-de-vine	aber-de-dam
192 aberr	aberr
193 aberrance	aberrance
194 aberrancy	aberrancy
195 aberrant	aberrant
196 aberration	quang sai
197 aberuncator	aberuncator
198 abetment	su tiep tay
199 abettal	thai nghen
200 abeyance	abeyance
201 abeyancy	abeyancy
202 abhal	ahal
203 abhorrer	nguoi ghe tom
204 abib	abib
205 abid	abid
206 abider	nguoi tiep tay
207 abies	abies
208 abietic	abietic
209 abietin	ho roi
210 abietine	cay linh sam
211 abietinic	abietinic
212 abigail	abigail
213 abiogenetic	abiogenetic
214 abiogenist	ke bao hanh
215 abiogeny	abiogeny
216 abiological	abiological
217 abit	tiep tay
218 abject	Kho so
219 ablactate	sau khi cai sua
220 ablaqueation	su boc me
221 ablastemic	ablastemic
222 ablative	boc me
223 ablaut	Cuon troi
224 able-bodied	co the hinh
225 abler	abler
226 ablins	ablins
227 abloom	abloom
228 ablush	ablush
229 ablutionary	loi canh bao
230 abluvion	abluvion
231 ably	ably
232 abnet	abnet
233 abnormal	khac thuong
234 aboard	cai bang
235 abolishable	co the bai bo
236 abolisher	nguoi bai bo
237 abolitionism	chu nghia bai no
238 abolitionist	nguoi theo chu nghia bai no
239 abomasum	abomasum
240 abominable	dang ghe tom
241 aborsive	tren tau
242 abort	Huy bo
243 aborticide	thuoc tru sau
244 abortifacient	gay say thai
245 abortion	su pha thai
246 abortionist	nguoi pha thai
247 abortment	pha thai
248 above-cited	trich dan o tren
249 above-mentioned	noi tren
250 above-named	co ten neu tren
251 abovedeck	tren boong tau
252 abovesaid	nhu da noi o tren
253 abox	Hop
254 abracadabra	abracadabra
255 abradant	cam thay lanh
256 abraham-man	Ap-ra-ham
257 abrahamic	abrahamic
258 abrahamitic	abrahamitic
259 abranchial	abranchial
260 abrasive	mai mon
261 abraum salts	muoi abraum
262 abraxas	abraxas
263 abreption	abreption
264 abricock	abricock
265 abridge	abridge
266 abridging	rut gon
267 abridgment	doan ngan
268 abroach	abroach
269 abroad	nuoc ngoai
270 abrood	abrood
271 abrook	abrook
272 abruptness	su dot ngot
273 abscisses	abscissa
274 abscission	su bo roi
275 absent-minded	lo dang
276 absenteeism	nghi hoc
277 absentness	su vang mat
278 absey-book	absey-book
279 absinthate	absinthate
280 absinthial	absinthial
281 absinthian	absinthian
282 absinthin	absinthin
283 absinthism	chu nghia vang ve
284 absinthium	absinthe
285 absolution	su giai toi
286 absolvatory	su tuyet doi
287 absolver	tha cho
288 absonant	ho bat hoa
289 absorbable	co the hap thu
290 absorbedly	tham thia
291 absorber	chat hap thu
292 absorptiveness	kha nang hap thu
293 absquatulate	vang mat
294 absque hoc	ngoai viec nay
295 abstainer	nguoi kieng cu
296 abstaining	kieng cu
297 abstemiousness	tinh du doi
298 abstention	su bo phieu trang
299 absterge	absterge
300 absterse	kieng
301 abstersive	kieng de
302 abstersiveness	tinh kieng cu
303 abstorted	bo phieu trang
304 abstracter	truu tuong hon
305 abstracting	truu tuong hoa
306 abstractionist	nguoi theo chu nghia truu tuong
307 abstractness	tinh truu tuong
308 abstrusion	su truu tuong
309 abstrusity	truu tuong
310 absurdness	su vo ly
311 abuna	do cua toi
312 abundant	dòi dào
313 aburst	mot vu no
314 abusable	dang lam dung
315 abused	bi lam dung
316 abuser	ke nguoc dai
317 abusive	mang nhiec
318 abutilon	abutilon
319 abuttal	voi tru
320 abutting	tru cau
321 abuzz	abuzz
322 abye	abye
323 abysm	abysm
324 abyss	vuc sau
325 abyssal	vuc tham
326 abyssinian	abyssinian
327 acacias	acacias
328 acacine	acacine
329 academe	academe
330 academial	thuoc ve hoc thuat
331 academically	mot cach hoc thuat
332 academicism	chu nghia han lam
333 academist	vien si
334 acadian	acadian
335 acaleph	aselef
336 acalephae	alephae
337 acalephan	akalifan
338 acalephans	acalephans
339 acalephoid	acalephoid
340 acalephs	acalephs
341 acalycine	acalycine
342 acalysinous	acalysinous
343 acanth	acanth
344 acantha	acantha
345 acanthi	acanthi
346 acanthine	acanthine
347 acanthocarpous	acanthocarpus
348 acanthocephala	acanthocephala
349 acanthocephalous	acanthocephalous
350 acanthopteri	acanthopteri
351 acanthopterygian	acanthopterygian
352 acanthopterygious	acanthopterygii
353 acanthus	acanthus
354 acanthuses	acanthuses
355 acari	acari
356 acaridan	tu acar
357 acarine	acarine
358 acaroid	acaroid
359 acarpellous	acarpellous
360 acarpous	acarpous
361 acatalectic	acatalectic
362 acatalepsy	acatalepsy
363 acater	acater
364 acates	acates
365 acaulescent	acaulescent
366 acauline	acauline
367 acaulose	acaulose
368 accadian	nguoi accadian
369 acceder	de truy cap
370 acceleration	su tang toc
371 accelerator	may gia toc
372 accelerograph	may do gia toc
373 accelerometer	gia toc ke
374 accend	accend
375 accenting	nhan giong
376 accentless	khong trong am
377 accentuable	co giong dieu
378 acceptability	kha nang chap nhan
379 acceptableness	su chap nhan duoc
380 accepted	Da duoc chap nhan
381 accepter	Chap nhan
382 acceptive	chap nhan
383 acceptor	nguoi chap nhan
384 accessible	co the truy cap
385 accessive	tiep can
386 accessory	phu kien
387 acciaccatura	acciaccatura
388 accidentalness	su tinh co
389 accipenser	Toi se lay no
390 accipiter	Mot con chim ung
391 accismus	thue tieu thu dac biet
392 accite	nhanh len
393 acclamatory	tung ho
394 acclimatized	di thuc
395 accoast	accoast
396 accoil	accoil
397 accommodately	co suc chua
398 accommodator	nguoi an o
399 accompanier	nguoi di cung
400 accompaniment	dem dan
401 accompanist	nguoi dem dan
402 accompanying	di cung
403 accompliceship	su dong loa
404 accomplicity	su hoan hao
405 accomplishable	co the hoan thanh
406 accordance	Tuy theo
407 accorder	dong y 
408 accordingly	theo do
409 accordion	dan accordion
410 accordionist	nguoi choi dan accordionist
411 accostable	co the boi thuong
412 account book	so tai khoan
413 accountable ness	trach nhiem giai trinh
414 accountably	co trach nhiem
415 accounted	hach toan
416 accounting	ke toan
417 accoutred	duoc boi dap
418 accoy	cho chua
419 accretion	boi tu
420 accriminate	don lai
421 accruer	nguoi cong don
422 accubation	su gia nhap
423 accumbency	su tich cop
424 accumber	accumber
425 accurateness	tinh chinh xac
426 accusatival	loi buoc toi
427 ace	at chu
428 aceldama	aceldama
429 acentric	acentric
430 acephal	acephal
431 acephala	acephala
432 acephalan	acephalan
433 acephali	acephali
434 acephalist	acephalist
435 acephalocyst	acephalocyst
436 acephalocystic	acephalocystic
437 acephalous	acephalous
438 acerate	acerate
439 acerbate	acerbate
440 acerbity	acerbity
441 aceric	aceric
442 acerose	acerose
443 acervuline	Dong coc
444 acescence	acescence
445 acescent	ho se chua
446 acetabular	axetabular
447 acetabulifera	acetabulifera
448 acetabuliferous	axetabuliferous
449 acetabuliform	acetabuliform
450 acetal	acetal
451 acetaldehyde	acetaldehyde
452 acetamide	axetamit
453 acetanilide	cua axetanils
454 acetary	axetary
455 acetate	axetat
456 acetic	acetic
457 acetification	su thanh thuc
458 acetified	acetified
459 acetify	acetify
460 acetifying	lam at chu bai
461 acetimeter	acetimeter
462 acetimetry	acetimetry
463 acetize	at chu bai
464 acetone	axeton
465 acetonic	acetonic
466 acetyl	acetyl
467 acetylene	axetylen
468 achaean	achaean
469 achatina	achatina
470 achean	achen
471 achene	achene
472 achenium	achenium
473 acheron	acheron
474 acherontic	acherontic
475 achillean	achillean
476 achilles' tendon	gan achilles
477 achilous	achilous
478 aching	nhuc nhoi
479 achiote	achiote
480 achlamydate	achlamydate
481 achlamydeous	achlamydeous
482 acholia	acholia
483 acholous	acholous
484 achromatin	achromatin
485 achromatism	benh sac to
486 achromatization	achromatization
487 achromatize	achromatize
488 achromatized	achromatized
489 achromatizing	achromatizing
490 achromatopsy	kham nghiem sac to
491 achronic	achronic
492 achroodextrin	achrodextrin
493 achylous	achylous
494 aciculae	aciculae
495 aciculated	aciculation
496 aciculiform	aciculiform
497 aciculite	aciculite
498 acidiferous	co nhieu axit
499 acidifiable	co the xac dinh duoc axit
500 acidific	thuoc ve axit
501 acidifier	chat lam chua
502 acidimeter	dong ho do axit
503 acidimetry	do axit
504 acidulating	axit hoa
505 acidulent	co tinh axit
506 acidulous	hoi chua
507 aciform	aciform
508 acinaces	acinaces
509 acinaciform	acinaciform
510 acinesia	akinesis
511 acinetae	acinete
512 acinetiform	acinetiform
513 acini	acini
514 aciniform	aciniform
515 acinose	acinus
516 acipenser	acipenser
517 acknowledger	nguoi thua nhan
518 aclinic	aclinic
519 acme	acme
520 acnodal	acnodal
521 acnode	acnode
522 acock	acock
523 acockbill	acockbill
524 acold	acold
525 acology	acology
526 acolothist	acolothist
527 acolyctine	acolyctine
528 acolyte	acolyte
529 acolyth	acolyth
530 acolythist	giau co nhat
531 aconddylose	aconddylose
532 acondylous	acondylous
533 aconitia	Aconitia
534 aconitic	aconitic
535 aconitine	aconitine
536 aconitum	aconite
537 acontias	acontias
538 acopic	acopic
539 acorn	acorn
540 acorn cup	coc acorn
541 acorn-shell	acorn-shell
542 acosmism	acosmism
543 acosmist	acosmist
544 acotyledonous	co la
545 acouchy	acouchy
546 acoumeter	acoumeter
547 acoustician	acoustician
548 acquaint	Lam quen
549 acquaintable	de lam quen
550 acquaintanceship	moi quan he quen biet
551 acquaintant	nguoi lam quen
552 acquaintedness	su quen biet
553 acquiesced	ung thuan
554 acquiescency	su ung thuan
555 acquiescently	thanh khan
556 acquiet	se lay
557 acquirability	kha nang co duoc
558 acquire	co duoc, thu duoc
559 acquiry	trang an
560 acquisition	thu mua
561 acquisitor	nguoi mua lai
562 acquist	nguoi trang an
563 acquittance	su tha bong
564 acquitting	tha bong
565 acrania	acrania
566 acranial	acranial
567 acrasia	acrasia
568 acraspeda	acraspeda
569 acreable	acreable
570 acred	acred
571 acridity	do chat
572 acridness	vi chat
573 acrimoniousness	tinh nhay ben
574 acrisia	mot cuoc khung hoang
575 acrita	acrit
576 acritan	acritan
577 acritical	thuoc ve am hoc
578 acritochromacy	acritochromacy
579 acroceraunian	acroceraunian
580 acrodactylum	acrodactylum
581 acrogen	acrogen
582 acrogenous	thuoc ve ban chat
583 acrolein	acrolein
584 acrolithan	acrolithan
585 acrolithic	acrolithic
586 acromegaly	To dau chi
587 acromial	acromial
588 acromion	acromion
589 acromonogrammatic	acromonogrammatic
590 acronyc	acronyc
591 acropetal	acropetal
592 acrophony	acrophony
593 acropodium	acropodium
594 acropolis	acropolis
595 acropolitan	acropolitan
596 acrospire	acrospire
597 acrospore	cay acrospore
598 acrostic	acrostic
599 acrostical	am hoc
600 acrostically	ve mat am hoc
601 acrotarsium	acrotarsium
602 acroteleutic	acroteleutic
603 acroter	nguoi nhao lon
604 acroteria	acroteria
605 acroterium	acroterium
606 acrotism	su nhao lon
607 acrotomous	acrotomous
608 acrylic	acrylic
609 acted	da hanh dong
610 actinal	actinal
611 actinaria	actinaria
612 actiniae	actinia
613 actinias	actinias
614 actinic	actinic
615 actiniform	actiniform
616 actinism	chu nghia tich cuc
617 actinium	actinium
618 actino-chemistry	hoa chat hoat hoa
619 actinoid	actinoid
620 actinolite	actinolit
621 actinolitic	hoat hoa
622 actinology	hoat tinh
623 actinomere	actinomere
624 actinometric	dong luong
625 actinometry	phep do hoat tinh
626 actinosome	actinosome
627 actinostome	actinostome
628 actinotrocha	actinotrocha
629 actinozoa	actinozoa
630 actinozoal	actinozoal
631 actinozoon	actinozoon
632 actinula	actinula
633 actionable	co the hanh dong
634 actionist	nguoi hoat dong
635 activeness	su tich cuc
636 activities	cac hoat dong
637 activity	hoat dong 
638 actor	dien vien nam
639 actress	nu dien vien
640 actualist	nguoi theo chu nghia thuc te
641 actually	thuc ra
642 actualness	tinh thuc te
643 actuator	thiet bi truyen dong
644 actuose	tich cuc
645 acturience	tinh hanh dong
646 acuate	slide
647 acuition	su hoc hoi
648 aculeate	aculeate
649 aculeated	aculeated
650 aculei	but long
651 aculeiform	aculeiform
652 acumination	acumination
653 acuminose	acuminose
654 acupressure	bam huyet
655 acupuncture	cham cuu
656 acute-angled	goc nhon
657 acutilobate	acutilobate
658 ad captandum	de nam bat
659 ad hominem	cho nguoi dan ong
660 ad infinitum	den vo cung
661 ad interim	trong thoi gian tam thoi
662 ad libitum	khong bat buoc
663 ad-	ad-
664 adactyl	adactyl
665 adactylous	adactylous
666 adage	cau ngan ngu
667 adagio	adagio
668 adam	adam
669 adam's apple	tao cua adam
670 adamantean	adamantean
671 adamantine	adamantine
672 adambulacral	adambulacral
673 adamic	adamic
674 adamite	adamite
675 adansonia	adansonia
676 adapt	phong theo
677 adaptability	kha nang thich ung
678 adaptable	thich nghi duoc
679 adaptableness	kha nang thich nghi
680 adapter	bo chuyen doi
681 adaptorial	thich nghi
682 adar	Adar
683 adarce	adarce
684 adatis	ban da di roi
685 addax	addax
686 addeem	addeem
687 addenda	addenda
688 adder fly	adder fly
689 adder's-tongue	nguoi bo sung luoi
690 adderwort	adderwort
691 addict	con nghien
692 addison's disease	Benh li Addison
693 addition	phep cong
694 additionally	Ngoai ra
695 additory	kho bo sung
696 addle	ung hu
697 addle-brained	addle-brained
698 addle-head	addle-head
699 addle-pate	addle-pate
700 addle-pated	addle-pated
701 addle-patedness	addle-patedness
702 addling	nghien ngap
703 addlings	nguoi nghien
704 addression	su xung ho
705 adduce	them bot
706 adducer	toi se dem
707 adduct	phoi pham
708 adductor	chat bo sung
709 addulce	addulce
710 adelaster	adelaster
711 adeling	Adling
712 adelocodonic	adelocodonic
713 adelopod	adelopod
714 adelphia	ad Philadelphia
715 aden-	aden-
716 adenalgy	adenalgy
717 adeniform	adeniform
718 adeno-	adeno-
719 adenographic	adenographic
720 adenography	adenography
721 adenoid	adenoid
722 adenoidal	adenoidal
723 adenological	adenological
724 adenology	nganh quang cao
725 adenophorous	thuoc ve am tham
726 adenose	adenose
727 adenotomic	adenotomic
728 adenotomy	u tuyen
729 adept	lao luyen
730 adeptist	tu nhung nguoi lao luyen
731 adeptness	su lao luyen
732 adesmy	adesmy
733 adessenarian	Adessenarian
734 adfected	bi nhiem trung
735 adhered	gan bo
736 adherer	nguoi tuan thu
737 adhibit	se su dung
738 adhort	adhort
739 adiabatic	doan nhiet
740 adiantum	adiantum
741 adiaphorism	adiaphorism
742 adiaphorist	adiaphorist
743 adiaphoristic	adiaphoristic
744 adiaphorite	adiaphorite
745 adiaphory	adiaphory
746 adiathermic	adiathermic
747 adieu	adieu
748 adight	adight
749 adipescent	ho se nhan duoc
750 adipic	adipic
751 adipocerate	adipocerate
752 adipocere	adipocere
753 adipoceriform	adipoceriform
754 adit	adit
755 adjacency	gan ke
756 adjacently	ngay sau do
757 adjectively	ve mat tinh toan
758 adjudger	nguoi phan xu
759 adjudicative	xet xu
760 adjudicator	nguoi xet xu
761 adjudicature	su xet xu
762 adjunction	su noi tiep
763 adjunctively	ve mat tinh tu
764 adjurer	nguoi phu ta
765 adjustable	co the dieu chinh
766 adjuvant	chat bo tro
767 admarginate	admarginate
768 admaxillary	admax Mao
769 admeasure	su do luong
770 adminiculary	do doc hoc
771 administrative	hanh chinh
772 administratorship	quyen quan tri
773 admirableness	dang nguong mo
774 admirably	dang kham phuc
775 admiration	su kham phuc
776 admirer	nguoi nguong mo
777 admissory	tuyen sinh
778 admittable	co the thua nhan
779 admittatur	duoc thua nhan
780 admitter	Duoc thua nhan
781 admix	quan tri vien
782 admixtion	su nguong mo
783 admixture	phu gia
784 admonisher	nguoi khuyen nhu
785 admonitioner	admonitioner
786 admonitrix	admonitrix
787 adnascent	duoc sinh ra
788 adnate	Adante
789 adnominal	thuoc ve danh nghia
790 adobe	adobe
791 adolescency	tuoi moi lon
792 adonean	trong tong the
793 adonic	adonic
794 adonis	adonis
795 adonist	cua adon
796 adoor	adoor
797 adoptable	co the nhan nuoi
798 adopter	nguoi nhan nuoi
799 adoption	nhan con nuoi
800 adoptionist	nguoi nhan con nuoi
801 adoptive	nhan nuoi
802 adorement	Yeu men
803 adown	adown
804 adpress	adpress
805 adrad	Hoang hot
806 adread	adread
807 adrian	adrian
808 adriatic	adriatic
809 adrip	adrip
810 adroit	khéo léo
811 adscript	chi so quang cao
812 adstrict	adstrict
813 adstrictory	adstrictory
814 adulterant	ho da ngoai tinh
815 adulterated	bi tap nhiem
816 adulterating	tap nhiem
817 adulteration	su pha tap
818 adulteress	nguoi ngoai tinh
819 adulterize	lam tap chat
820 adumbrative	thuoc menh lenh
821 adunc	Toi thu thap
822 adure	trong khoang cach
823 adust	adust
824 adustible	de dinh vao
825 advancer	advancer
826 advancive	advancive
827 advene	advene
828 adventuresome	thich phieu luu
829 adverb	trang tu
830 adverbiality	tinh quang cao
831 adverbially	mang tinh quang cao
832 adversifoliate	adversifoliate
833 adversion	su nghich chuyen
834 adversity	nghich canh
835 advertence	su quang cao
836 advertency	hieu luc
837 advertent	nguoi quang cao
838 advertised	duoc quang cao
839 advertiser	nha quang cao
840 advertising	quang cao
841 advisability	kha nang tu van
842 advised	khuyen
843 advocating	benh vuc
844 advolution	su tien bo
845 advoutrer	nguoi tu van
846 advoutress	nu co van
847 advowee	advowee
848 advowson	advowson
849 advoyer	advoyer
850 adynamia	adynamia
851 adynamic	adynamic
852 adynamy	adynamy
853 adyta	toi da lam
854 adze	adze
855 aedileship	aedileship
856 aegicrania	aegicrania
857 aegilops	aegilops
858 aegis	aegis
859 aegophony	aegophony
860 aemail ombrant	an email
861 aeneid	aeneid
862 aeneous	aeneous
863 aeolian	aeolian
864 aeolic	aeolic
865 aeolipile	de aeolip
866 aeolipyle	eolipyle
867 aeolotropic	aeolotropic
868 aeolotropy	aeolotropy
869 aeolus	aeolus
870 aeon	aeon
871 aeonian	aeonian
872 aepyornis	aepyornis
873 aerated	co suc khi
874 aeration	suc khi
875 aerator	may suc khi
876 aerial	tren khong
877 aerie	aerie
878 aeriform	aeriform
879 aero-	aero-
880 aerobies	nguoi tap the duc nhip dieu
881 aerobiotic	aerobiotic
882 aerocyst	aerocyst
883 aerognosy	aerognosy
884 aerohydrodynamic	khi dong hoc
885 aerolite	aeroles
886 aerolith	aerolith
887 aerolitic	khi cau
888 aerologic	the duc khi
889 aerologist	nha hang khong
890 aerology	khi hoc
891 aerometer	khi ke
892 aerometric	khi dung
893 aerometry	phep do khi quyen
894 aeronaut	nguoi hang khong
895 aerophobia	aerophobia
896 aerophoby	aerophoby
897 aerophyte	aerophyte
898 aeroscopy	binh xit
899 aerosiderite	aerosiderite
900 aerostat	aerostat
901 aerostatics	khi tinh
902 aerugo	5 de gap
903 aery	aery
904 aesculapian	aesculapian
905 aesculapius	aesculapius
906 aesculin	aesculin
907 aesthesiometer	may do tham my
908 aestheticism	chu nghia tham my
909 aesthetics	tinh tham my
910 aestho-physiology	sinh ly hoc tham my
911 aestivate	aestivate
912 aestuous	co tham my
913 aether	aether
914 aethiops mineral	Khoang san Ethiopia
915 aethogen	aethogen
916 aethrioscope	kinh aethrioscope
917 aetiological	nguyen sinh hoc
918 aetiology	benh nguyen sinh
919 aetites	aetites
920 affatuate	hay triu men
921 affectationist	nguoi anh huong
922 affectibility	su triu men
923 affecting	anh huong den
924 affection	su yeu men
925 affectioned	triu men
926 affeerer	su viec
927 afferent	co tam
928 affiance	su tin cay
929 affianced	co long tin
930 affidavit	ban tuyen the
931 affiliable	co the lien ket
932 affinal	than thuoc
933 affine	affine
934 affirm	Xac nhan
935 affirmable	co the khang dinh
936 affixed	dan vao
937 afflictionless	khong dau kho
938 affluentness	su sung tuc
939 affordable	gia ca phai chang
940 afforded	du kha nang
941 affordment	su chi tra
942 afforest	nguoi trong rung
943 afforestation	trong rung
944 affranchisement	buu phi
945 affreighter	nguoi tiep thi
946 affret	se mang
947 affriended	co tinh cam
948 affrighter	ke ngoai tinh
949 affrontiveness	niem no
950 affy	ai ky
951 affying	phien nao
952 afghan	afghan
953 afield	afield
954 afire	Mot dam chay
955 aflaunt	aflaunt
956 aflow	mot dong chay
957 aflush	aflush
958 afoot	afoot
959 aforesaid	da noi o tren
960 aforethought	da nghi truoc
961 afoul	afoul
962 afreet	duong xa
963 afric	Chau phi
964 african	Nguoi chau Phi
965 africander	nguoi o xa
966 africanism	chu nghia chau phi
967 africanize	chau phi
968 afrite	afrite
969 after damp	sau khi am uot
970 after-dinner	sau bua toi
971 after-eatage	sau khi an
972 after-glow	anh sang sau khi phat sang
973 after-image	hinh anh sau
974 after-mentioned	de cap sau
975 after-note	ghi chu sau
976 after-sails	nhung canh buom sau
977 afterbirth	sau khi sanh
978 afterclap	sau lop phu
979 aftercrop	vet cat sau
980 aftergame	sau tro choi
981 aftergrass	co sau
982 aftergrowth	su phat trien sau nay
983 aftershaft	truc sau
984 aftertaste	du vi
985 afterthought	suy nghi sau
986 againstand	chong lai va
987 agalactia	agalactia
988 agalaxy	agalaxy
989 agalloch	agalloch
990 agallochum	agallochum
991 agamic	agamic
992 agamogenesis	agamogenesis
993 aganglionic	aganglionic
994 agape	agape
995 agar-agar	neu neu
996 agaric	agaric
997 agasp	agasp
998 agatine	agatine
999 agaty	ma nao
1000 agave	Cay thua
1001 agedly	lau doi
1002 ageless	khong tuoi tac
1003 agency	hãng
1004 agenda	chuong trinh nghi su
1005 agendum	duoc hoan thanh
1006 agenesis	tuoi thanh nien
1007 agennesis	agennesis
1008 agentship	dai ly
1009 ageratum	ageratum
1010 agglutination	su ngung ket
1011 aggrandizable	co the bien doi duoc
1012 aggrandizer	nguoi lam nong nghiep
1013 aggravative	lam nang them
1014 aggregating	tong hop lai
1015 aggressing	gay han
1016 aggri	aggri
1017 aggrievance	su than phien
1018 agible	de chiu
1019 agios	agios
1020 agist	agist
1021 agistator	may khuay dong
1022 agistor	agistor
1023 agleam	toi chien dau
1024 aglet	aglet
1025 aglimmer	lam rung dong
1026 aglitter	aglites
1027 aglossal	aglossal
1028 agnail	agnail
1029 agnate	agnate
1030 agnatic	agnatic
1031 agni	agni
1032 agnostic	bat kha tri
1033 agnosticism	thuyet bat kha tri
1034 agnus	agnus
1035 agnus castus	thit cuu thuan khiet
1036 agnus dei	agnus dei
1037 agog	agog
1038 agon	agon
1039 agone	de cho anh ta ngu
1040 agonic	tang truong luc
1041 agonist	nguoi chu dong
1042 agonistically	ve mat nghich ly
1043 agonistics	chat dong van
1044 agouara	aguara
1045 agouta	agouta
1046 agouty	cong viec nang nhoc
1047 agrace	agrace
1048 agraffe	agraffe
1049 agraphia	agraphia
1050 agrappes	agrappes
1051 agrarianism	chu nghia trong nong
1052 agrarianize	nong hoa
1053 agreeability	tinh thich hop
1054 agreement	hiep dinh
1055 agrestical	theo quan diem
1056 agricolist	nguoi theo chu nghia nong nghiep
1057 agriculturism	chu nghia nong nghiep
1058 agrimony	su nong noi
1059 agrin	agrin
1060 agronomics	nong gia
1061 agrope	nong san
1062 agrostis	agrostis
1063 agrostographical	dia ly nong nghiep
1064 agrostologist	nha nong hoc
1065 agrostology	nong hoc
1066 agrypnotic	agrypnotic
1067 ague	ague
1068 aguilt	nong noi
1069 ah	Ah
1070 aheap	mot dong
1071 ahem	ahem
1072 ahigh	mot cao
1073 ahold	kia
1074 ahorseback	ahorseback
1075 ahoy	ahoy
1076 ahriman	ahriman
1077 ahull	ahull
1078 ahungered	ahungered
1079 aiblins	aiblins
1080 aich's metal	kim loai cua aich
1081 aid-de-camp	tro ly trai
1082 aid-major	vien tro chinh
1083 aidance	I E
1084 aidless	khong vien tro
1085 aids-de-camp	tro giup khu trai
1086 aiel	Il
1087 aiglet	aiglet
1088 aigremore	aigremore
